Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
216,1,1,3,4,7,1,1,2,3,3,3,3,1,2,2,5,1
217,1,1,3,5,6,1,1,3,1,1,1,1,1,2,2,4,1
218,1,1,1,1,4,2,3,4,3,1,1,1,1,2,1,5,2
219,1,1,1,1,4,1,1,5,2,1,1,1,1,2,1,5,1
220,1,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
221,1,1,1,1,7,1,1,3,2,1,1,1,1,2,1,3,1
222,1,1,1,1,3,1,1,3,2,1,1,1,1,2,2,5,2
223,1,1,1,1,6,2,3,3,2,1,3,1,1,2,1,4,8
224,1,1,1,1,4,1,1,5,1,1,1,1,1,2,2,5,2
225,1,1,1,1,6,1,3,3,1,1,1,1,1,2,1,5,1
226,1,1,1,1,6,3,3,4,1,1,1,1,2,2,2,3,8
227,1,1,1,1,5,1,1,3,2,1,1,1,1,2,2,3,2
228,1,1,1,1,4,1,1,6,1,1,3,1,1,2,1,5,2
229,1,1,1,1,6,2,3,2,3,3,3,3,1,2,1,2,8
230,1,1,1,1,5,1,1,3,1,1,3,1,1,2,2,2,2
231,1,1,1,1,3,1,1,6,1,1,1,1,1,2,1,5,2
232,1,1,2,2,7,1,3,2,3,1,3,1,1,2,1,5,8
233,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,1
234,1,1,1,1,4,1,1,4,1,1,1,1,1,2,2,4,2
235,1,1,1,1,7,1,1,4,1,1,3,1,1,2,2,5,2
236,1,1,5,1,5,1,1,3,3,1,3,1,2,2,1,3,2
237,1,1,1,1,2,1,1,3,1,1,1,1,2,2,1,4,1
238,1,1,1,1,4,1,1,5,1,1,1,1,1,2,1,5,1
239,1,1,3,4,3,1,1,3,2,1,2,1,1,2,2,5,2
240,1,1,3,4,3,1,2,5,2,1,2,1,1,2,2,5,2
241,1,1,3,4,3,1,1,5,3,1,2,1,2,2,2,5,2
242,1,1,3,1,5,1,1,3,3,3,3,3,1,2,2,5,2
243,1,1,3,4,4,1,1,5,1,1,3,1,1,2,2,4,2
244,1,1,3,5,4,1,1,4,1,1,3,1,1,2,2,5,1
245,1,1,3,4,4,1,1,4,1,1,3,1,1,2,1,4,2
246,1,1,3,4,6,2,3,3,2,3,3,2,1,2,2,4,2
247,1,1,3,4,5,1,1,3,3,1,2,1,1,2,2,5,2
248,1,1,3,4,5,1,1,3,2,1,2,1,1,2,2,5,2
249,1,1,3,5,4,1,1,5,1,1,3,1,1,2,1,5,8
250,1,1,1,1,7,1,1,3,1,1,1,1,1,2,2,3,2
251,1,1,1,1,7,1,1,3,1,1,1,1,1,2,2,5,2
252,1,1,5,1,2,1,1,4,3,1,3,1,1,2,2,5,1
253,1,1,3,4,4,1,1,3,3,1,2,1,1,2,2,5,
254,1,1,3,4,3,1,1,4,2,1,3,1,1,1,2,5,2
255,1,1,3,4,2,1,1,4,2,1,3,1,2,1,2,5,2
256,1,1,2,3,1,1,1,4,1,1,1,1,1,2,2,3,2
257,1,1,1,1,7,1,1,3,1,1,1,1,1,2,2,4,2
258,1,1,1,1,6,2,1,3,2,2,3,2,1,2,1,5,2
259,1,1,1,1,2,1,1,4,1,1,1,1,1,2,2,5,2
260,1,1,1,1,7,2,3,3,1,1,3,1,1,2,1,3,2
261,1,1,1,1,3,2,3,3,1,1,2,1,1,2,2,3,2
262,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
263,1,1,1,1,3,1,1,5,2,2,2,2,1,2,1,5,2
264,1,1,1,1,6,1,1,3,3,1,3,1,1,2,1,4,2
265,1,1,1,1,5,1,1,5,1,1,2,1,2,2,2,5,1
266,1,1,1,1,5,1,1,4,1,1,1,1,2,1,2,3,1
267,1,1,1,1,5,1,1,6,1,1,1,1,1,2,1,4,2
268,1,1,1,1,5,1,1,3,1,1,3,1,1,2,2,5,2
269,1,1,1,1,7,1,1,3,1,1,3,1,1,2,2,5,2
270,1,1,1,1,3,1,1,4,1,1,3,1,1,1,2,4,2
271,1,1,1,1,4,1,1,5,2,1,1,1,2,2,1,5,2
272,1,1,1,1,5,1,1,5,1,1,1,1,1,2,2,5,2
273,1,1,4,1,5,1,1,5,2,1,3,1,1,2,1,5,2
274,1,1,1,1,7,1,1,5,1,1,3,1,1,2,2,5,2
275,1,1,1,1,4,1,1,6,1,1,1,1,1,2,1,5,2
276,1,1,1,1,6,1,1,6,1,1,1,1,1,2,1,5,2
277,1,1,1,1,5,1,1,4,1,1,1,1,1,2,2,5,2
278,1,1,4,1,5,1,1,6,1,1,1,1,1,2,1,4,1
279,1,1,1,1,6,1,1,6,1,1,1,1,1,2,2,5,2
280,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,5,2
281,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,4,2
282,1,1,1,1,7,1,1,3,1,1,2,1,1,2,2,4,2
